File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Artur\Downloads\Multilinear\Setup.hs,3,2,0,0,1,0,0,0,0,0
C:\Users\Artur\Downloads\Multilinear\Multilinear.cabal,87,82,0,0,5,2,0,2,0,0
C:\Users\Artur\Downloads\Multilinear\stack.yaml,69,64,1,0,5,4,0,4,0,0
C:\Users\Artur\Downloads\Multilinear\benchmark\Bench.hs,41,31,1,1,10,0,0,0,0,0
C:\Users\Artur\Downloads\Multilinear\dist\build\autogen\cabal_macros.h,196,137,0,0,31,0,28,92,2,14
C:\Users\Artur\Downloads\Multilinear\dist\build\autogen\Paths_Multilinear.hs,49,40,3,1,9,0,0,0,0,0
C:\Users\Artur\Downloads\Multilinear\src\Multilinear.hs,317,254,49,0,63,4,0,4,0,0
C:\Users\Artur\Downloads\Multilinear\src\Multilinear\Form.hs,19,15,2,0,4,0,0,0,0,0
C:\Users\Artur\Downloads\Multilinear\src\Multilinear\Generic.hs,86,70,24,0,16,0,0,0,0,0
C:\Users\Artur\Downloads\Multilinear\src\Multilinear\Index.hs,122,95,29,0,27,0,0,0,0,0
C:\Users\Artur\Downloads\Multilinear\src\Multilinear\Library.hs,65,55,4,0,10,0,0,0,0,0
C:\Users\Artur\Downloads\Multilinear\src\Multilinear\Matrix.hs,19,15,2,0,4,0,0,0,0,0
C:\Users\Artur\Downloads\Multilinear\src\Multilinear\NForm.hs,19,15,2,0,4,0,0,0,0,0
C:\Users\Artur\Downloads\Multilinear\src\Multilinear\NVector.hs,19,15,2,0,4,0,0,0,0,0
C:\Users\Artur\Downloads\Multilinear\src\Multilinear\Tensor.hs,19,15,2,0,4,0,0,0,0,0
C:\Users\Artur\Downloads\Multilinear\src\Multilinear\Vector.hs,19,15,2,0,4,0,0,0,0,0
C:\Users\Artur\Downloads\Multilinear\src\Multilinear\Form\AsArray.hs,192,168,42,6,24,0,0,0,0,0
C:\Users\Artur\Downloads\Multilinear\src\Multilinear\Form\AsList.hs,192,169,42,6,23,0,0,0,0,0
C:\Users\Artur\Downloads\Multilinear\src\Multilinear\Generic\AsArray.hs,644,556,39,3,88,1,0,6,0,0
C:\Users\Artur\Downloads\Multilinear\src\Multilinear\Generic\AsList.hs,656,567,44,3,89,1,0,6,0,0
C:\Users\Artur\Downloads\Multilinear\src\Multilinear\Index\Finite.hs,100,80,21,0,20,0,0,0,0,0
C:\Users\Artur\Downloads\Multilinear\src\Multilinear\Index\Infinite.hs,91,71,21,0,20,0,0,0,0,0
C:\Users\Artur\Downloads\Multilinear\src\Multilinear\Matrix\AsArray.hs,25,20,5,0,5,0,0,0,0,0
C:\Users\Artur\Downloads\Multilinear\src\Multilinear\Matrix\AsList.hs,249,223,45,6,26,0,0,0,0,0
C:\Users\Artur\Downloads\Multilinear\src\Multilinear\NForm\AsArray.hs,26,19,4,0,7,0,0,0,0,0
C:\Users\Artur\Downloads\Multilinear\src\Multilinear\NForm\AsList.hs,205,172,46,8,33,1,0,1,0,0
C:\Users\Artur\Downloads\Multilinear\src\Multilinear\NVector\AsArray.hs,25,19,4,0,6,0,0,0,0,0
C:\Users\Artur\Downloads\Multilinear\src\Multilinear\NVector\AsList.hs,178,151,44,8,27,0,0,0,0,0
C:\Users\Artur\Downloads\Multilinear\src\Multilinear\Tensor\AsArray.hs,24,18,3,0,6,0,0,0,0,0
C:\Users\Artur\Downloads\Multilinear\src\Multilinear\Tensor\AsList.hs,197,167,43,13,30,0,0,0,0,0
C:\Users\Artur\Downloads\Multilinear\src\Multilinear\Vector\AsArray.hs,24,18,3,0,6,0,0,0,0,0
C:\Users\Artur\Downloads\Multilinear\src\Multilinear\Vector\AsList.hs,193,170,43,6,23,0,0,0,0,0
C:\Users\Artur\Downloads\Multilinear\test\Spec.hs,41,29,1,0,12,0,0,0,0,0
